#28178653-V-2020033000-T-01;sebeomezeni.csv;2020-03-30T08:18:52.0+02:00;1.0
"IDNastaveniSO";"IDUzivKonto";"TypSO";"HodnotaVyse";"HodnotaPocet";"HodnotaCas";"SONastaveniCas";"SOUcinnostiCas";"SOOdmitnuti";"MenaKod"
"28178653-18381749";"28178653-12202622";"d";"2000,00";;;"2020-03-30T06:47:43.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381755";"28178653-12202622";"a";"1000,00";;;"2020-03-30T06:48:22.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381526";"28178653-12329573";"g";;;;"2020-03-30T04:43:35.0+02:00";"2020-03-30T04:43:35.0+02:00";1;
"28178653-18381522";"28178653-12370112";"a";;;;"2020-03-30T04:35:07.0+02:00";"2020-03-30T04:35:07.0+02:00";1;
"28178653-18381517";"28178653-12370112";"g";;;;"2020-03-30T04:34:56.0+02:00";"2020-03-30T04:34:56.0+02:00";1;
"28178653-18381523";"28178653-12370112";"c";;;;"2020-03-30T04:35:08.0+02:00";"2020-03-30T04:35:08.0+02:00";1;
"28178653-18381515";"28178653-12370112";"e";;;;"2020-03-30T04:34:53.0+02:00";"2020-03-30T04:34:53.0+02:00";1;
"28178653-18381524";"28178653-12370112";"b";;;;"2020-03-30T04:35:10.0+02:00";"2020-03-30T04:35:10.0+02:00";1;
"28178653-18381516";"28178653-12370112";"f";;;;"2020-03-30T04:34:55.0+02:00";"2020-03-30T04:34:55.0+02:00";1;
"28178653-18381525";"28178653-12370112";"d";;;;"2020-03-30T04:35:12.0+02:00";"2020-03-30T04:35:12.0+02:00";1;
"28178653-18381591";"28178653-12370029";"g";;;;"2020-03-30T05:30:18.0+02:00";"2020-03-30T05:30:18.0+02:00";1;
"28178653-18381589";"28178653-12370029";"e";;;;"2020-03-30T05:30:11.0+02:00";"2020-03-30T05:30:11.0+02:00";1;
"28178653-18381590";"28178653-12370029";"f";;;;"2020-03-30T05:30:15.0+02:00";"2020-03-30T05:30:15.0+02:00";1;
"28178653-18381597";"28178653-12370029";"c";;;;"2020-03-30T05:31:27.0+02:00";"2020-03-30T05:31:27.0+02:00";1;
